name,rating,date,title,colour,review_raw,review_norm,tokens,lemmas,tokens_str,lemmas_str,len_tokens
Naeem Cheekkappurath,5.0 out of 5 stars,13 October 2025,Fantastic Smart Speaker for Everyday Use!,BlueConfiguration: Echo Dot Only,"I’ve been using the Echo Dot (5th Gen) for a while now, and I’m genuinely impressed with how much power this small device packs. The sound quality is excellent — clear vocals with surprisingly deep bass for its size. It easily fills my room with music and works great for podcasts or audiobooks too.Alexa is faster and more responsive than before. Whether I’m setting reminders, checking the weather, or controlling my smart lights and plugs, it responds instantly. The microphone sensitivity is also very good — it can hear me even when music is playing.The design is sleek and modern, blending perfectly with my desk setup. I also love the LED display on top that shows the time and volume level. It doubles nicely as a small bedside clock.Overall, the Echo Dot (5th Gen) feels like a solid upgrade over the older versions. Great sound, smart features, and reliable performance — totally worth the price!",i ve been using the echo dot 5th gen for a while now and i m genuinely impressed with how much power this small device packs the sound quality is excellent clear vocals with surprisingly deep bass for its size it easily fills my room with music and works great for podcasts or audiobooks too alexa is faster and more responsive than before whether i m setting reminders checking the weather or controlling my smart lights and plugs it responds instantly the microphone sensitivity is also very good it can hear me even when music is playing the design is sleek and modern blending perfectly with my desk setup i also love the led display on top that shows the time and volume level it doubles nicely as a small bedside clock overall the echo dot 5th gen feels like a solid upgrade over the older versions great sound smart features and reliable performance totally worth the price,"['ve', 'echo', 'dot', '5th', 'gen', 'm', 'genuinely', 'impressed', 'power', 'small', 'device', 'packs', 'sound', 'quality', 'excellent', 'clear', 'vocals', 'surprisingly', 'deep', 'bass', 'size', 'easily', 'fills', 'room', 'music', 'works', 'great', 'podcasts', 'audiobooks', 'alexa', 'faster', 'responsive', 'm', 'setting', 'reminders', 'checking', 'weather', 'controlling', 'smart', 'lights', 'plugs', 'responds', 'instantly', 'microphone', 'sensitivity', 'good', 'hear', 'music', 'playing', 'design', 'sleek', 'modern', 'blending', 'perfectly', 'desk', 'setup', 'love', 'led', 'display', 'shows', 'time', 'volume', 'level', 'doubles', 'nicely', 'small', 'bedside', 'clock', 'overall', 'echo', 'dot', '5th', 'gen', 'feels', 'like', 'solid', 'upgrade', 'older', 'versions', 'great', 'sound', 'smart', 'features', 'reliable', 'performance', 'totally', 'worth', 'price']","['ve', 'echo', 'dot', '5th', 'gen', 'm', 'genuinely', 'impressed', 'power', 'small', 'device', 'pack', 'sound', 'quality', 'excellent', 'clear', 'vocal', 'surprisingly', 'deep', 'bass', 'size', 'easily', 'fill', 'room', 'music', 'work', 'great', 'podcast', 'audiobook', 'alexa', 'fast', 'responsive', 'm', 'set', 'reminder', 'check', 'weather', 'control', 'smart', 'light', 'plug', 'respond', 'instantly', 'microphone', 'sensitivity', 'good', 'hear', 'music', 'play', 'design', 'sleek', 'modern', 'blending', 'perfectly', 'desk', 'setup', 'love', 'lead', 'display', 'show', 'time', 'volume', 'level', 'double', 'nicely', 'small', 'bedside', 'clock', 'overall', 'echo', 'dot', '5th', 'gen', 'feel', 'like', 'solid', 'upgrade', 'old', 'version', 'great', 'sound', 'smart', 'feature', 'reliable', 'performance', 'totally', 'worth', 'price']",ve echo dot 5th gen m genuinely impressed power small device packs sound quality excellent clear vocals surprisingly deep bass size easily fills room music works great podcasts audiobooks alexa faster responsive m setting reminders checking weather controlling smart lights plugs responds instantly microphone sensitivity good hear music playing design sleek modern blending perfectly desk setup love led display shows time volume level doubles nicely small bedside clock overall echo dot 5th gen feels like solid upgrade older versions great sound smart features reliable performance totally worth price,ve echo dot 5th gen m genuinely impressed power small device pack sound quality excellent clear vocal surprisingly deep bass size easily fill room music work great podcast audiobook alexa fast responsive m set reminder check weather control smart light plug respond instantly microphone sensitivity good hear music play design sleek modern blending perfectly desk setup love lead display show time volume level double nicely small bedside clock overall echo dot 5th gen feel like solid upgrade old version great sound smart feature reliable performance totally worth price,88
Surajeet Ghosh,5.0 out of 5 stars,31 October 2025,Alexa not working properly,BlueConfiguration: Echo Dot Only,Alexa not workingI want to return itTrying for 2 day's,alexa not workingi want to return ittrying for 2 day s,"['alexa', 'workingi', 'want', 'return', 'ittrying', 'day', 's']","['alexa', 'workingi', 'want', 'return', 'ittrye', 'day', 's']",alexa workingi want return ittrying day s,alexa workingi want return ittrye day s,7
Rinku,5.0 out of 5 stars,5 October 2025,"It is very easy, convenient and satisfying experience and it looks fantastic.",WhiteConfiguration: Echo Dot Only,"It is a fantastic product and is very easy to operate, thanks to the alexa app because it just worked very smoothly and there were no issues or lags with the app. I bought it in white colour and it just looked fantastic. The voice recognition was also very smooth and quick. I overall liked the product and it is worth considering for the price point.",it is a fantastic product and is very easy to operate thanks to the alexa app because it just worked very smoothly and there were no issues or lags with the app i bought it in white colour and it just looked fantastic the voice recognition was also very smooth and quick i overall liked the product and it is worth considering for the price point,"['fantastic', 'product', 'easy', 'operate', 'thanks', 'alexa', 'app', 'worked', 'smoothly', 'issues', 'lags', 'app', 'bought', 'white', 'colour', 'looked', 'fantastic', 'voice', 'recognition', 'smooth', 'quick', 'overall', 'liked', 'product', 'worth', 'considering', 'price', 'point']","['fantastic', 'product', 'easy', 'operate', 'thank', 'alexa', 'app', 'work', 'smoothly', 'issue', 'lag', 'app', 'buy', 'white', 'colour', 'look', 'fantastic', 'voice', 'recognition', 'smooth', 'quick', 'overall', 'like', 'product', 'worth', 'consider', 'price', 'point']",fantastic product easy operate thanks alexa app worked smoothly issues lags app bought white colour looked fantastic voice recognition smooth quick overall liked product worth considering price point,fantastic product easy operate thank alexa app work smoothly issue lag app buy white colour look fantastic voice recognition smooth quick overall like product worth consider price point,28
Jayanta,5.0 out of 5 stars,6 November 2025,Good item,BlueConfiguration: Echo Dot Only,"Waooo!! Very good,  Volume require slightly up.",waooo very good volume require slightly up,"['waooo', 'good', 'volume', 'require', 'slightly']","['waooo', 'good', 'volume', 'require', 'slightly']",waooo good volume require slightly,waooo good volume require slightly,5
Placeholder,3.0 out of 5 stars,15 August 2023,Very Very Average. Very disappointed. Underperformance.,BlackConfiguration: Echo Dot Only,"This latest version of Echo Dot may be a better version than previous ones, but I am thorough disappointed with  Alexa Echo Dot. Many times it does not understand the command, many times it simply says Sorry I don't understand, many times while music is on it is unable to catch the voice hence you have to shout to activate the volume sensors for a different command. Majority of the music is picked up only from Amazon, no generic search for the song, you give a song name and artist name, many times it says that it's unable to find the song.I just had a quick glimpse of ChatGPT. The level of AI used is immaculate...it actually mind boggling.I bought ALEXA recently with a perception that ALEXA may have similar level of inbuilt AI, but let's say, ALEXA is far far away from being closest to AI.In first few minutes, I got to know and I declared it as a complete DUMBO.I repent. May be I was overexpecting. ALEXA may have good features for home automation, etc, however if you really want to use it majorly for your music needs, I would suggest you better drop the idea of going for ALEXA.I wonder how a person like Rajiv Makhni gives a complete Thumbs Up for this product and unlike earlier times, provides biased reviews without naming the device drawbacksHope above details help some friends to make the right decision.",this latest version of echo dot may be a better version than previous ones but i am thorough disappointed with alexa echo dot many times it does not understand the command many times it simply says sorry i don t understand many times while music is on it is unable to catch the voice hence you have to shout to activate the volume sensors for a different command majority of the music is picked up only from amazon no generic search for the song you give a song name and artist name many times it says that it s unable to find the song i just had a quick glimpse of chatgpt the level of ai used is immaculate it actually mind boggling i bought alexa recently with a perception that alexa may have similar level of inbuilt ai but let s say alexa is far far away from being closest to ai in first few minutes i got to know and i declared it as a complete dumbo i repent may be i was overexpecting alexa may have good features for home automation etc however if you really want to use it majorly for your music needs i would suggest you better drop the idea of going for alexa i wonder how a person like rajiv makhni gives a complete thumbs up for this product and unlike earlier times provides biased reviews without naming the device drawbackshope above details help some friends to make the right decision,"['latest', 'version', 'echo', 'dot', 'better', 'version', 'previous', 'ones', 'thorough', 'disappointed', 'alexa', 'echo', 'dot', 'times', 'understand', 'command', 'times', 'simply', 'says', 'sorry', 'don', 't', 'understand', 'times', 'music', 'unable', 'catch', 'voice', 'shout', 'activate', 'volume', 'sensors', 'different', 'command', 'majority', 'music', 'picked', 'amazon', 'generic', 'search', 'song', 'song', 'artist', 'times', 'says', 's', 'unable', 'find', 'song', 'quick', 'glimpse', 'chatgpt', 'level', 'ai', 'immaculate', 'actually', 'mind', 'boggling', 'bought', 'alexa', 'recently', 'perception', 'alexa', 'similar', 'level', 'inbuilt', 'ai', 'let', 's', 'alexa', 'far', 'far', 'away', 'closest', 'ai', 'minutes', 'got', 'know', 'declared', 'complete', 'dumbo', 'repent', 'overexpecting', 'alexa', 'good', 'features', 'home', 'automation', 'etc', 'want', 'use', 'majorly', 'music', 'needs', 'suggest', 'better', 'drop', 'idea', 'going', 'alexa', 'wonder', 'person', 'like', 'rajiv', 'makhni', 'gives', 'complete', 'thumbs', 'product', 'unlike', 'earlier', 'times', 'provides', 'biased', 'reviews', 'naming', 'device', 'drawbackshope', 'details', 'help', 'friends', 'right', 'decision']","['late', 'version', 'echo', 'dot', 'well', 'version', 'previous', 'one', 'thorough', 'disappointed', 'alexa', 'echo', 'dot', 'time', 'understand', 'command', 'time', 'simply', 'say', 'sorry', 'don', 't', 'understand', 'time', 'music', 'unable', 'catch', 'voice', 'shout', 'activate', 'volume', 'sensor', 'different', 'command', 'majority', 'music', 'pick', 'amazon', 'generic', 'search', 'song', 'song', 'artist', 'time', 'say', 's', 'unable', 'find', 'song', 'quick', 'glimpse', 'chatgpt', 'level', 'ai', 'immaculate', 'actually', 'mind', 'boggle', 'buy', 'alexa', 'recently', 'perception', 'alexa', 'similar', 'level', 'inbuilt', 'ai', 'let', 's', 'alexa', 'far', 'far', 'away', 'close', 'ai', 'minute', 'get', 'know', 'declare', 'complete', 'dumbo', 'repent', 'overexpecte', 'alexa', 'good', 'feature', 'home', 'automation', 'etc', 'want', 'use', 'majorly', 'music', 'need', 'suggest', 'well', 'drop', 'idea', 'go', 'alexa', 'wonder', 'person', 'like', 'rajiv', 'makhni', 'give', 'complete', 'thumb', 'product', 'unlike', 'early', 'time', 'provide', 'biased', 'review', 'name', 'device', 'drawbackshope', 'detail', 'help', 'friend', 'right', 'decision']",latest version echo dot better version previous ones thorough disappointed alexa echo dot times understand command times simply says sorry don t understand times music unable catch voice shout activate volume sensors different command majority music picked amazon generic search song song artist times says s unable find song quick glimpse chatgpt level ai immaculate actually mind boggling bought alexa recently perception alexa similar level inbuilt ai let s alexa far far away closest ai minutes got know declared complete dumbo repent overexpecting alexa good features home automation etc want use majorly music needs suggest better drop idea going alexa wonder person like rajiv makhni gives complete thumbs product unlike earlier times provides biased reviews naming device drawbackshope details help friends right decision,late version echo dot well version previous one thorough disappointed alexa echo dot time understand command time simply say sorry don t understand time music unable catch voice shout activate volume sensor different command majority music pick amazon generic search song song artist time say s unable find song quick glimpse chatgpt level ai immaculate actually mind boggle buy alexa recently perception alexa similar level inbuilt ai let s alexa far far away close ai minute get know declare complete dumbo repent overexpecte alexa good feature home automation etc want use majorly music need suggest well drop idea go alexa wonder person like rajiv makhni give complete thumb product unlike early time provide biased review name device drawbackshope detail help friend right decision,123
Siddharth,5.0 out of 5 stars,16 October 2023,Echo Dot 5 is good smart speaker of small size with some Pros and Cons,BlueConfiguration: Echo Dot Only,"Liked that,Echo Dot 5 can be used as external bluetooth speaker even for 2nd generation Fire TV stick attached to older non smart HDMI TV.It also controlled the 2nd generation Fire TV stick to open applications & all on TV,do some searches on TV as well.It has temperature sensor & some ultrasound sensor which couldn't be tested without more smart devices.The bass sound is good from small speaker. Mics are nice & sensitive enough.It came preconfigured & connected directly from Amazon cloud synced data from 2nd generation Fire TV stick.Didnot like no rechargable battery included.Always a corded wire shows up.Looks bad for a smart device.Didnot like clock & temperature not displayed yet.Did not like Echo Dot 5 showing device not compatible for auto updated 2nd generation Fire tv stick to become home theater system.Even after 2nd generation Fire TV stick was updated from Settings-->Fire TV-->Install updates several times & restarted till it showed latest up to date Fire TV OS.I didnot like vendor lockin for common man. Till date,There is no Interoperability with compatibility between Fire OS,Fire TV Stick 2nd generation,Echo Dot 5,Google Assistant,Google Nest Mini 2,Google Chrome cast & such smart IOT devices which is much required to make more value for money & make life simpler for all.I did not like there is no standardization of manufacturing standard Gaming remote control pairing standards that can work with Fire TV stick.I did not like that Amazon Luna on Fire TV stick is not allowed in India.I didnot like that,no common interoperability open standards for Virtual reality shopping, gaming & other applications with Echo Dot 5 & other company smart IOT devices are being governed by IEEE or such institutions for net neutrality & better future with more value for money without vendor lockin.",liked that echo dot 5 can be used as external bluetooth speaker even for 2nd generation fire tv stick attached to older non smart hdmi tv it also controlled the 2nd generation fire tv stick to open applications all on tv do some searches on tv as well it has temperature sensor some ultrasound sensor which couldn t be tested without more smart devices the bass sound is good from small speaker mics are nice sensitive enough it came preconfigured connected directly from amazon cloud synced data from 2nd generation fire tv stick didnot like no rechargable battery included always a corded wire shows up looks bad for a smart device didnot like clock temperature not displayed yet did not like echo dot 5 showing device not compatible for auto updated 2nd generation fire tv stick to become home theater system even after 2nd generation fire tv stick was updated from settings fire tv install updates several times restarted till it showed latest up to date fire tv os i didnot like vendor lockin for common man till date there is no interoperability with compatibility between fire os fire tv stick 2nd generation echo dot 5 google assistant google nest mini 2 google chrome cast such smart iot devices which is much required to make more value for money make life simpler for all i did not like there is no standardization of manufacturing standard gaming remote control pairing standards that can work with fire tv stick i did not like that amazon luna on fire tv stick is not allowed in india i didnot like that no common interoperability open standards for virtual reality shopping gaming other applications with echo dot 5 other company smart iot devices are being governed by ieee or such institutions for net neutrality better future with more value for money without vendor lockin,"['liked', 'echo', 'dot', 'external', 'bluetooth', 'speaker', '2nd', 'generation', 'fire', 'tv', 'stick', 'attached', 'older', 'non', 'smart', 'hdmi', 'tv', 'controlled', '2nd', 'generation', 'fire', 'tv', 'stick', 'open', 'applications', 'tv', 'searches', 'tv', 'temperature', 'sensor', 'ultrasound', 'sensor', 'couldn', 't', 'tested', 'smart', 'devices', 'bass', 'sound', 'good', 'small', 'speaker', 'mics', 'nice', 'sensitive', 'came', 'preconfigured', 'connected', 'directly', 'amazon', 'cloud', 'synced', 'data', '2nd', 'generation', 'fire', 'tv', 'stick', 'didnot', 'like', 'rechargable', 'battery', 'included', 'corded', 'wire', 'shows', 'looks', 'bad', 'smart', 'device', 'didnot', 'like', 'clock', 'temperature', 'displayed', 'like', 'echo', 'dot', 'showing', 'device', 'compatible', 'auto', 'updated', '2nd', 'generation', 'fire', 'tv', 'stick', 'home', 'theater', 'system', '2nd', 'generation', 'fire', 'tv', 'stick', 'updated', 'settings', 'fire', 'tv', 'install', 'updates', 'times', 'restarted', 'till', 'showed', 'latest', 'date', 'fire', 'tv', 'os', 'didnot', 'like', 'vendor', 'lockin', 'common', 'man', 'till', 'date', 'interoperability', 'compatibility', 'fire', 'os', 'fire', 'tv', 'stick', '2nd', 'generation', 'echo', 'dot', 'google', 'assistant', 'google', 'nest', 'mini', 'google', 'chrome', 'cast', 'smart', 'iot', 'devices', 'required', 'value', 'money', 'life', 'simpler', 'like', 'standardization', 'manufacturing', 'standard', 'gaming', 'remote', 'control', 'pairing', 'standards', 'work', 'fire', 'tv', 'stick', 'like', 'amazon', 'luna', 'fire', 'tv', 'stick', 'allowed', 'india', 'didnot', 'like', 'common', 'interoperability', 'open', 'standards', 'virtual', 'reality', 'shopping', 'gaming', 'applications', 'echo', 'dot', 'company', 'smart', 'iot', 'devices', 'governed', 'ieee', 'institutions', 'net', 'neutrality', 'better', 'future', 'value', 'money', 'vendor', 'lockin']","['like', 'echo', 'dot', 'external', 'bluetooth', 'speaker', '2nd', 'generation', 'fire', 'tv', 'stick', 'attach', 'old', 'non', 'smart', 'hdmi', 'tv', 'control', '2nd', 'generation', 'fire', 'tv', 'stick', 'open', 'application', 'tv', 'search', 'tv', 'temperature', 'sensor', 'ultrasound', 'sensor', 'couldn', 't', 'test', 'smart', 'device', 'bass', 'sound', 'good', 'small', 'speaker', 'mic', 'nice', 'sensitive', 'come', 'preconfigure', 'connect', 'directly', 'amazon', 'cloud', 'sync', 'datum', '2nd', 'generation', 'fire', 'tv', 'stick', 'didnot', 'like', 'rechargable', 'battery', 'include', 'cord', 'wire', 'show', 'look', 'bad', 'smart', 'device', 'didnot', 'like', 'clock', 'temperature', 'display', 'like', 'echo', 'dot', 'show', 'device', 'compatible', 'auto', 'update', '2nd', 'generation', 'fire', 'tv', 'stick', 'home', 'theater', 'system', '2nd', 'generation', 'fire', 'tv', 'stick', 'update', 'setting', 'fire', 'tv', 'install', 'update', 'time', 'restart', 'till', 'show', 'late', 'date', 'fire', 'tv', 'os', 'didnot', 'like', 'vendor', 'lockin', 'common', 'man', 'till', 'date', 'interoperability', 'compatibility', 'fire', 'os', 'fire', 'tv', 'stick', '2nd', 'generation', 'echo', 'dot', 'google', 'assistant', 'google', 'nest', 'mini', 'google', 'chrome', 'cast', 'smart', 'iot', 'device', 'require', 'value', 'money', 'life', 'simple', 'like', 'standardization', 'manufacture', 'standard', 'game', 'remote', 'control', 'pairing', 'standard', 'work', 'fire', 'tv', 'stick', 'like', 'amazon', 'luna', 'fire', 'tv', 'stick', 'allow', 'india', 'didnot', 'like', 'common', 'interoperability', 'open', 'standard', 'virtual', 'reality', 'shopping', 'game', 'application', 'echo', 'dot', 'company', 'smart', 'iot', 'device', 'govern', 'ieee', 'institution', 'net', 'neutrality', 'well', 'future', 'value', 'money', 'vendor', 'lockin']",liked echo dot external bluetooth speaker 2nd generation fire tv stick attached older non smart hdmi tv controlled 2nd generation fire tv stick open applications tv searches tv temperature sensor ultrasound sensor couldn t tested smart devices bass sound good small speaker mics nice sensitive came preconfigured connected directly amazon cloud synced data 2nd generation fire tv stick didnot like rechargable battery included corded wire shows looks bad smart device didnot like clock temperature displayed like echo dot showing device compatible auto updated 2nd generation fire tv stick home theater system 2nd generation fire tv stick updated settings fire tv install updates times restarted till showed latest date fire tv os didnot like vendor lockin common man till date interoperability compatibility fire os fire tv stick 2nd generation echo dot google assistant google nest mini google chrome cast smart iot devices required value money life simpler like standardization manufacturing standard gaming remote control pairing standards work fire tv stick like amazon luna fire tv stick allowed india didnot like common interoperability open standards virtual reality shopping gaming applications echo dot company smart iot devices governed ieee institutions net neutrality better future value money vendor lockin,like echo dot external bluetooth speaker 2nd generation fire tv stick attach old non smart hdmi tv control 2nd generation fire tv stick open application tv search tv temperature sensor ultrasound sensor couldn t test smart device bass sound good small speaker mic nice sensitive come preconfigure connect directly amazon cloud sync datum 2nd generation fire tv stick didnot like rechargable battery include cord wire show look bad smart device didnot like clock temperature display like echo dot show device compatible auto update 2nd generation fire tv stick home theater system 2nd generation fire tv stick update setting fire tv install update time restart till show late date fire tv os didnot like vendor lockin common man till date interoperability compatibility fire os fire tv stick 2nd generation echo dot google assistant google nest mini google chrome cast smart iot device require value money life simple like standardization manufacture standard game remote control pairing standard work fire tv stick like amazon luna fire tv stick allow india didnot like common interoperability open standard virtual reality shopping game application echo dot company smart iot device govern ieee institution net neutrality well future value money vendor lockin,195
Placeholder,4.0 out of 5 stars,2 November 2025,Product good but advt must be curtailed,BlueConfiguration: Echo Dot Only,"It plays music only from jiosavn, no other station. There is no prime music station. Advertisement post completion of every song quite irritating despite being the product is good.",it plays music only from jiosavn no other station there is no prime music station advertisement post completion of every song quite irritating despite being the product is good,"['plays', 'music', 'jiosavn', 'station', 'prime', 'music', 'station', 'advertisement', 'post', 'completion', 'song', 'irritating', 'despite', 'product', 'good']","['play', 'music', 'jiosavn', 'station', 'prime', 'music', 'station', 'advertisement', 'post', 'completion', 'song', 'irritate', 'despite', 'product', 'good']",plays music jiosavn station prime music station advertisement post completion song irritating despite product good,play music jiosavn station prime music station advertisement post completion song irritate despite product good,15
ganeshphirke,4.0 out of 5 stars,31 October 2025,Good Product I am satisfied,BlueConfiguration: Echo Dot Only,Working Nice and good product,working nice and good product,"['working', 'nice', 'good', 'product']","['work', 'nice', 'good', 'product']",working nice good product,work nice good product,4
kishore,4.0 out of 5 stars,26 October 2025,Connectivity,WhiteConfiguration: Echo Dot Only,"Complicated connectivity., alexa app is complicated",complicated connectivity alexa app is complicated,"['complicated', 'connectivity', 'alexa', 'app', 'complicated']","['complicated', 'connectivity', 'alexa', 'app', 'complicated']",complicated connectivity alexa app complicated,complicated connectivity alexa app complicated,5
Navya,3.0 out of 5 stars,2 November 2025,"Playing unrelated songs, noot following the voice command",BlueConfiguration: Echo Dot Only,"I am disappointed with Alexa Echo Dot. It does not understand the command, many times it simply says Sorry I don't understand, many times while music is on it is unable to catch the voice hence you have to shout to activate the volume sensors for a different command. Majority of the music is picked up only from Amazon, no generic search for the song, you give a song name and artist name, many times it says that it's unable to find the song. And when I am saying a song name, it is always playing the wrong song when I am connecting with Spotify, getting irritated by listening the wrong songs everytime.",i am disappointed with alexa echo dot it does not understand the command many times it simply says sorry i don t understand many times while music is on it is unable to catch the voice hence you have to shout to activate the volume sensors for a different command majority of the music is picked up only from amazon no generic search for the song you give a song name and artist name many times it says that it s unable to find the song and when i am saying a song name it is always playing the wrong song when i am connecting with spotify getting irritated by listening the wrong songs everytime,"['disappointed', 'alexa', 'echo', 'dot', 'understand', 'command', 'times', 'simply', 'says', 'sorry', 'don', 't', 'understand', 'times', 'music', 'unable', 'catch', 'voice', 'shout', 'activate', 'volume', 'sensors', 'different', 'command', 'majority', 'music', 'picked', 'amazon', 'generic', 'search', 'song', 'song', 'artist', 'times', 'says', 's', 'unable', 'find', 'song', 'saying', 'song', 'playing', 'wrong', 'song', 'connecting', 'spotify', 'getting', 'irritated', 'listening', 'wrong', 'songs', 'everytime']","['disappoint', 'alexa', 'echo', 'dot', 'understand', 'command', 'time', 'simply', 'say', 'sorry', 'don', 't', 'understand', 'time', 'music', 'unable', 'catch', 'voice', 'shout', 'activate', 'volume', 'sensor', 'different', 'command', 'majority', 'music', 'pick', 'amazon', 'generic', 'search', 'song', 'song', 'artist', 'time', 'say', 's', 'unable', 'find', 'song', 'say', 'song', 'play', 'wrong', 'song', 'connect', 'spotify', 'get', 'irritated', 'listen', 'wrong', 'song', 'everytime']",disappointed alexa echo dot understand command times simply says sorry don t understand times music unable catch voice shout activate volume sensors different command majority music picked amazon generic search song song artist times says s unable find song saying song playing wrong song connecting spotify getting irritated listening wrong songs everytime,disappoint alexa echo dot understand command time simply say sorry don t understand time music unable catch voice shout activate volume sensor different command majority music pick amazon generic search song song artist time say s unable find song say song play wrong song connect spotify get irritated listen wrong song everytime,52
